node_id,shape_id,x,y,radius
21,4,514,105,7.0
22,4,519,115,10.0
23,4,521,125,8.54400374531753
24,4,527,135,8.94427190999916
25,4,532,145,13.0
26,4,532,155,15.811388300841896
27,4,531,165,15.524174696260024
28,4,531,175,16.0312195418814
29,4,532,185,17.0
30,4,534,195,16.0312195418814
31,4,539,205,17.46424919657298
32,4,542,215,17.0
33,4,547,225,18.027756377319946
34,4,555,233,12.0
35,4,556,243,11.0
36,4,558,253,9.219544457292887
37,4,560,263,7.280109889280518
38,4,574,269,5.0
39,4,562,273,9.486832980505138
40,4,565,283,13.0
41,4,571,292,13.601470508735444
42,4,576,302,12.529964086141668
43,4,581,312,15.0
44,4,585,322,19.924858845171276
45,4,585,332,24.041630560342615
46,4,556,342,5.0
47,4,589,342,31.304951684997057
48,4,579,349,25.612496949731394
49,4,566,351,14.560219778561036
50,4,597,352,35.510561809129406
51,4,637,352,10.04987562112089
52,4,606,359,31.76476034853718
53,4,627,361,18.027756377319946
54,4,616,365,29.0
55,4,619,371,26.0
56,4,622,381,25.079872407968907
57,4,625,391,24.331050121192877
58,4,630,401,20.0
59,4,634,411,17.46424919657298
60,4,638,421,17.4928556845359
61,4,643,431,18.867962264113206
62,4,648,441,16.15549442140351
63,4,655,451,13.0
64,4,659,461,13.45362404707371
65,4,666,471,13.0
66,4,668,481,11.704699910719626
67,4,676,491,11.313708498984761
68,4,679,501,10.0
69,4,679,511,12.083045973594572
70,4,673,513,8.06225774829855
71,4,685,516,14.7648230602334
72,4,686,526,13.0
73,4,686,536,13.341664064126334
74,4,690,546,19.0
75,4,694,556,20.8806130178211
76,4,480,560,3.605551275463989
77,4,697,566,21.18962010041709
78,4,488,569,2.8284271247461903
79,4,498,573,2.0
80,4,706,575,21.02379604162864
81,4,505,581,5.0
82,4,712,585,18.601075237738275
83,4,742,589,2.0
84,4,510,591,9.055385138137417
85,4,716,595,18.788294228055936
86,4,732,597,11.0
87,4,529,600,6.0
88,4,516,601,7.615773105863909
89,4,719,605,20.0
90,4,531,610,8.06225774829855
91,4,721,615,22.0
92,4,541,617,9.486832980505138
93,4,733,620,20.0
94,4,743,620,15.524174696260024
95,4,551,621,8.246211251235321
96,4,726,622,26.076809620810597
97,4,561,624,7.280109889280518
98,4,719,625,20.223748416156685
99,4,571,626,5.0
100,4,768,627,1.0
101,4,753,628,7.0
102,4,580,634,6.0
103,4,712,635,16.76305461424021
104,4,590,639,10.0
105,4,600,643,14.035668847618199
106,4,702,645,11.180339887498949
107,4,610,646,14.560219778561036
108,4,653,650,9.848857801796104
109,4,620,653,18.35755975068582
110,4,643,653,10.0
111,4,669,654,5.0
112,4,679,654,5.0
113,4,689,654,7.211102550927978
114,4,637,655,13.0
115,4,660,656,7.0710678118654755
116,4,630,657,14.035668847618199
