Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
9,"(13,235)",12,"(18,239)",6.40,\,"(10,220)",15.30
13,"(18,1090)",22,"(27,1096)",10.82,X,"(9,1065)",26.57
23,"(29,499)",24,"(33,501)",4.47,,"(19,512)",16.40
23,"(29,499)",29,"(43,493)",15.23,,"(19,512)",16.40
24,"(33,501)",29,"(43,493)",12.81,Ë,"(37,505)",5.66
28,"(42,273)",37,"(51,280)",11.40,à,"(44,267)",6.32
32,"(45,639)",39,"(52,626)",14.76,¡,"(27,642)",18.25
33,"(45,684)",36,"(49,668)",16.49,E,"(2,694)",44.15
64,"(99,559)",65,"(102,580)",21.21,č,"(57,556)",42.11
64,"(99,559)",73,"(114,593)",37.16,č,"(57,556)",42.11
65,"(102,580)",73,"(114,593)",17.69,ŏ,"(75,592)",29.55
66,"(104,1121)",74,"(114,1131)",14.14,Ž,"(88,1114)",17.46
66,"(104,1121)",85,"(125,1124)",21.21,Ž,"(88,1114)",17.46
72,"(112,323)",82,"(124,330)",13.89,ł,"(73,323)",39.00
72,"(112,323)",90,"(132,323)",20.00,ł,"(73,323)",39.00
74,"(114,1131)",85,"(125,1124)",13.04,ǎ,"(115,1134)",3.16
77,"(116,654)",89,"(125,653)",9.06,ǆ,"(110,652)",6.32
77,"(116,654)",103,"(146,667)",32.70,ǆ,"(110,652)",6.32
82,"(124,330)",90,"(132,323)",10.63,null,null,null
89,"(125,653)",103,"(146,667)",25.24,null,null,null
93,"(139,691)",101,"(145,687)",7.21,ǣ,"(122,694)",17.26
93,"(139,691)",105,"(149,683)",12.81,ǣ,"(122,694)",17.26
93,"(139,691)",108,"(154,683)",17.00,ǣ,"(122,694)",17.26
93,"(139,691)",103,"(146,667)",25.00,ǣ,"(122,694)",17.26
95,"(140,144)",98,"(141,150)",6.08,Ȫ,"(144,138)",7.21
101,"(145,687)",105,"(149,683)",5.66,null,null,null
101,"(145,687)",108,"(154,683)",9.85,null,null,null
101,"(145,687)",103,"(146,667)",20.02,null,null,null
103,"(146,667)",105,"(149,683)",16.28,Ƚ,"(149,666)",3.16
103,"(146,667)",108,"(154,683)",17.89,Ƚ,"(149,666)",3.16
105,"(149,683)",108,"(154,683)",5.00,null,null,null
106,"(149,1002)",111,"(155,1012)",11.66,ƹ,"(106,1000)",43.05
109,"(154,642)",122,"(168,606)",38.63,Ɍ,"(154,644)",2.00
118,"(163,144)",126,"(175,151)",13.89,ɤ,"(161,145)",2.24
127,"(174,670)",135,"(189,678)",17.00,ʙ,"(173,659)",11.05
139,"(195,1099)",142,"(202,1089)",12.21,ʉ,"(169,1091)",27.20
140,"(200,507)",144,"(204,521)",14.56,ɼ,"(165,523)",38.48
145,"(205,354)",148,"(213,363)",12.04,˜,"(195,341)",16.40
158,"(238,562)",165,"(245,541)",22.14,̀,"(206,573)",33.84
166,"(247,637)",169,"(251,649)",12.65,·,"(247,634)",3.00
186,"(279,6)",187,"(283,11)",6.40,͙,"(234,4)",45.04
191,"(283,1107)",195,"(291,1116)",12.04,ϔ,"(267,1116)",18.36
201,"(299,4)",202,"(300,9)",5.10,ц,"(299,2)",2.00
206,"(307,532)",210,"(317,524)",12.81,щ,"(299,523)",12.04
221,"(324,838)",228,"(332,841)",8.54,ё,"(300,841)",24.19
234,"(347,801)",242,"(358,812)",15.56,Ӯ,"(344,802)",3.16
248,"(365,266)",255,"(376,266)",11.00,Ӝ,"(340,280)",28.65
252,"(372,672)",258,"(379,678)",9.22,ԧ,"(359,677)",13.93
252,"(372,672)",261,"(382,675)",10.44,ԧ,"(359,677)",13.93
256,"(376,332)",263,"(383,349)",18.38,Ս,"(369,334)",7.28
258,"(379,678)",261,"(382,675)",4.24,null,null,null
264,"(384,1044)",270,"(394,1036)",12.81,א,"(410,1067)",34.71
265,"(387,204)",271,"(395,209)",9.43,՚,"(373,220)",21.26
265,"(387,204)",273,"(395,214)",12.81,՚,"(373,220)",21.26
265,"(387,204)",277,"(404,203)",17.03,՚,"(373,220)",21.26
271,"(395,209)",273,"(395,214)",5.00,null,null,null
271,"(395,209)",277,"(404,203)",10.82,null,null,null
273,"(395,214)",277,"(404,203)",14.21,՛,"(373,235)",30.41
274,"(402,451)",284,"(415,442)",15.81,ղ,"(380,440)",24.60
279,"(411,108)",287,"(418,116)",10.63,ր,"(386,99)",26.57
280,"(411,635)",294,"(427,637)",16.12,׌,"(409,636)",2.24
280,"(411,635)",299,"(435,628)",25.00,׌,"(409,636)",2.24
280,"(411,635)",310,"(453,649)",44.27,׌,"(409,636)",2.24
287,"(418,116)",289,"(420,137)",21.10,ؗ,"(433,106)",18.03
290,"(421,362)",293,"(426,350)",13.00,׼,"(421,365)",3.00
291,"(423,710)",292,"(425,714)",4.47,؀,"(423,708)",2.00
294,"(427,637)",299,"(435,628)",12.04,؋,"(427,639)",2.00
294,"(427,637)",310,"(453,649)",28.64,؋,"(427,639)",2.00
295,"(428,865)",307,"(452,874)",25.63,֏,"(392,875)",37.36
296,"(429,234)",298,"(434,234)",5.00,؅,"(426,253)",19.24
299,"(435,628)",310,"(453,649)",27.66,׋,"(409,582)",52.84
303,"(444,963)",313,"(458,966)",14.32,ؠ,"(434,966)",10.44
305,"(447,673)",311,"(458,667)",12.53,و,"(445,690)",17.12
305,"(447,673)",318,"(469,677)",22.36,و,"(445,690)",17.12
311,"(458,667)",318,"(469,677)",14.87,ٸ,"(458,665)",2.00
315,"(460,327)",319,"(472,339)",16.97,ؘ,"(433,315)",29.55
315,"(460,327)",328,"(480,356)",35.23,ؘ,"(433,315)",29.55
317,"(468,1025)",323,"(474,1030)",7.81,ٖ,"(450,1008)",24.76
319,"(472,339)",328,"(480,356)",18.79,null,null,null
321,"(474,698)",327,"(477,691)",7.62,ڊ,"(461,723)",28.18
321,"(474,698)",335,"(486,691)",13.89,ڊ,"(461,723)",28.18
327,"(477,691)",335,"(486,691)",9.00,ڼ,"(477,689)",2.00
332,"(482,524)",337,"(489,532)",10.63,ٷ,"(458,507)",29.41
339,"(494,139)",351,"(506,132)",13.89,ٻ,"(459,155)",38.48
341,"(499,778)",352,"(507,771)",10.63,ۏ,"(483,768)",18.87
342,"(498,980)",348,"(503,989)",10.30,ڹ,"(476,994)",26.08
345,"(500,110)",350,"(506,109)",6.08,ۘ,"(490,83)",28.79
346,"(501,884)",355,"(507,854)",30.59,۠,"(491,867)",19.72
361,"(525,326)",367,"(530,332)",7.81,ܰ,"(515,276)",50.99
362,"(529,203)",370,"(540,211)",13.60,ܔ,"(507,212)",23.77
378,"(555,592)",385,"(562,574)",19.31,ޫ,"(548,589)",7.62
382,"(558,859)",387,"(563,859)",5.00,߇,"(558,876)",17.00
389,"(567,10)",396,"(578,21)",15.56,ݠ,"(528,4)",39.46
415,"(614,653)",417,"(618,656)",5.00,࡟,"(602,627)",28.64
416,"(618,572)",418,"(619,584)",12.04,࠵,"(592,573)",26.02
416,"(618,572)",421,"(626,586)",16.12,࠵,"(592,573)",26.02
418,"(619,584)",421,"(626,586)",7.28,࠽,"(594,589)",25.50
419,"(622,767)",425,"(635,774)",14.76,ࠬ,"(589,784)",37.12
436,"(651,378)",441,"(660,386)",12.04,ࢷ,"(628,353)",33.97
443,"(660,826)",450,"(670,830)",10.77,ࣷ,"(647,840)",19.10
446,"(668,313)",455,"(677,324)",14.21,ࣤ,"(643,332)",31.40
449,"(669,578)",456,"(677,570)",11.31,ए,"(654,572)",16.16
1,"(0,620)",null,null,null,D,"(2,634)",14.14
2,"(0,1128)",null,null,null,x,"(15,1125)",15.30
3,"(2,813)",null,null,null,G,"(2,816)",3.00
4,"(4,13)",null,null,null,I,"(3,11)",2.24
5,"(10,867)",null,null,null,a,"(11,862)",5.10
6,"(12,153)",null,null,null,B,"(2,164)",14.87
7,"(11,425)",null,null,null,p,"(13,425)",2.00
8,"(12,943)",null,null,null,H,"(2,963)",22.36
10,"(13,486)",null,null,null,K,"(3,503)",19.72
11,"(14,851)",null,null,null,l,"(12,846)",5.39
12,"(18,239)",null,null,null,,"(27,251)",15.00
14,"(20,365)",null,null,null,i,"(12,352)",15.26
15,"(19,404)",null,null,null,,"(19,408)",4.00
16,"(20,795)",null,null,null,F,"(2,767)",33.29
17,"(18,892)",null,null,null,S,"(7,884)",13.60
18,"(20,0)",null,null,null,z,"(17,2)",3.61
19,"(22,451)",null,null,null,`,"(11,462)",15.56
20,"(26,321)",null,null,null,,"(20,324)",6.71
21,"(27,284)",null,null,null,],"(10,292)",18.79
22,"(27,1096)",null,null,null,|,"(17,1109)",16.40
25,"(33,20)",null,null,null,Y,"(10,54)",41.05
26,"(33,521)",null,null,null,C,"(2,559)",49.04
27,"(34,198)",null,null,null,A,"(0,199)",34.01
29,"(43,493)",null,null,null,â,"(44,487)",6.08
30,"(42,964)",null,null,null,T,"(8,981)",38.01
31,"(44,156)",null,null,null,É,"(37,171)",16.55
34,"(45,1004)",null,null,null,n,"(12,996)",33.96
35,"(46,1067)",null,null,null,b,"(11,1047)",40.31
36,"(49,668)",null,null,null,Ì,"(37,666)",12.17
37,"(51,280)",null,null,null,Ā,"(52,287)",7.07
38,"(51,834)",null,null,null,¿,"(35,821)",20.62
39,"(52,626)",null,null,null,¥,"(28,609)",29.41
40,"(52,948)",null,null,null,Û,"(42,933)",18.03
41,"(59,777)",null,null,null,®,"(29,754)",37.80
42,"(62,810)",null,null,null,Ù,"(42,801)",21.93
43,"(74,123)",null,null,null,¢,"(28,91)",56.04
44,"(71,1027)",null,null,null,ĺ,"(68,1033)",6.71
45,"(72,394)",null,null,null,ĉ,"(55,407)",21.40
46,"(74,641)",null,null,null,Ě,"(60,650)",16.64
47,"(74,905)",null,null,null,þ,"(51,886)",29.83
48,"(82,186)",null,null,null,Ĕ,"(59,186)",23.00
49,"(84,728)",null,null,null,æ,"(45,731)",39.12
50,"(85,243)",null,null,null,ę,"(60,246)",25.18
51,"(86,266)",null,null,null,Ŏ,"(75,275)",14.21
52,"(87,693)",null,null,null,Ĥ,"(64,700)",24.04
53,"(90,15)",null,null,null,ĥ,"(65,22)",25.96
54,"(90,628)",null,null,null,Ő,"(75,616)",19.21
55,"(90,1074)",null,null,null,ľ,"(70,1105)",36.89
56,"(91,508)",null,null,null,Ƒ,"(92,511)",3.16
57,"(92,427)",null,null,null,ħ,"(65,433)",27.66
58,"(92,36)",null,null,null,Đ,"(58,47)",35.74
59,"(93,468)",null,null,null,ģ,"(64,465)",29.15
60,"(93,444)",null,null,null,ũ,"(83,452)",12.81
61,"(93,904)",null,null,null,Ů,"(83,868)",37.36
62,"(94,1138)",null,null,null,Ŀ,"(70,1141)",24.19
63,"(96,715)",null,null,null,ƅ,"(90,717)",6.32
67,"(107,956)",null,null,null,Ų,"(84,952)",23.35
68,"(107,215)",null,null,null,ų,"(85,213)",22.09
69,"(107,351)",null,null,null,ļ,"(70,344)",37.66
70,"(109,926)",null,null,null,Ʈ,"(102,927)",7.07
71,"(109,467)",null,null,null,Ƶ,"(105,468)",4.12
73,"(114,593)",null,null,null,ƨ,"(100,604)",17.80
75,"(115,43)",null,null,null,ǋ,"(115,77)",34.00
78,"(116,386)",null,null,null,Ƹ,"(106,400)",17.20
79,"(120,1075)",null,null,null,ǔ,"(116,1094)",19.42
80,"(122,507)",null,null,null,Ǒ,"(116,491)",17.09
81,"(122,805)",null,null,null,ǉ,"(113,852)",47.85
83,"(124,132)",null,null,null,ƣ,"(100,129)",24.19
84,"(123,218)",null,null,null,ǝ,"(120,237)",19.24
85,"(125,1124)",null,null,null,ǯ,"(124,1100)",24.02
86,"(124,398)",null,null,null,ǫ,"(124,400)",2.00
87,"(125,453)",null,null,null,Ȇ,"(132,453)",7.00
88,"(126,557)",null,null,null,ǟ,"(121,558)",5.10
90,"(132,323)",null,null,null,ǰ,"(125,301)",23.09
91,"(139,417)",null,null,null,Ǳ,"(125,423)",15.23
92,"(139,30)",null,null,null,Ǡ,"(122,12)",24.76
94,"(139,931)",null,null,null,Ȉ,"(133,932)",6.08
96,"(140,579)",null,null,null,ǲ,"(125,576)",15.30
97,"(141,737)",null,null,null,ǵ,"(126,715)",26.63
98,"(141,150)",null,null,null,ǻ,"(131,165)",18.03
99,"(142,349)",null,null,null,Ǵ,"(126,347)",16.12
100,"(142,948)",null,null,null,Ƕ,"(127,961)",19.85
102,"(147,227)",null,null,null,ȍ,"(135,243)",20.00
104,"(150,267)",null,null,null,ǚ,"(119,273)",31.58
107,"(152,187)",null,null,null,Ǽ,"(131,177)",23.26
108,"(154,683)",null,null,null,ɟ,"(158,682)",4.12
110,"(156,579)",null,null,null,ɋ,"(154,578)",2.24
111,"(155,1012)",null,null,null,ȇ,"(132,1030)",29.21
112,"(158,732)",null,null,null,ɍ,"(154,747)",15.52
113,"(158,944)",null,null,null,ɕ,"(155,941)",4.24
114,"(160,832)",null,null,null,ȟ,"(140,851)",27.59
115,"(160,876)",null,null,null,ȋ,"(134,867)",27.51
116,"(159,1052)",null,null,null,Ȧ,"(141,1065)",22.20
117,"(163,915)",null,null,null,ɣ,"(160,917)",3.61
119,"(163,701)",null,null,null,Ȳ,"(147,707)",17.09
120,"(164,108)",null,null,null,Ǹ,"(129,93)",38.08
121,"(164,801)",null,null,null,ȭ,"(145,784)",25.50
122,"(168,606)",null,null,null,ȯ,"(146,601)",22.56
123,"(172,374)",null,null,null,ɓ,"(155,367)",18.38
124,"(172,470)",null,null,null,ɀ,"(150,465)",22.56
125,"(173,340)",null,null,null,ɪ,"(162,354)",17.80
126,"(175,151)",null,null,null,ʟ,"(175,153)",2.00
128,"(177,322)",null,null,null,ə,"(156,316)",21.84
129,"(178,747)",null,null,null,ɡ,"(159,769)",29.07
130,"(178,1039)",null,null,null,ʁ,"(166,1036)",12.37
131,"(183,713)",null,null,null,ˌ,"(190,717)",8.06
132,"(184,356)",null,null,null,˓,"(193,364)",12.04
133,"(188,1116)",null,null,null,Ɏ,"(154,1098)",38.47
134,"(188,460)",null,null,null,ʠ,"(175,448)",17.69
135,"(189,678)",null,null,null,ˆ,"(189,685)",7.00
136,"(192,122)",null,null,null,ʷ,"(186,102)",20.88
137,"(194,796)",null,null,null,ˏ,"(191,797)",3.16
138,"(194,818)",null,null,null,ˠ,"(196,814)",4.47
141,"(201,701)",null,null,null,˟,"(196,698)",5.83
142,"(202,1089)",null,null,null,ʶ,"(185,1074)",22.67
143,"(204,442)",null,null,null,˄,"(189,420)",26.63
144,"(204,521)",null,null,null,ʪ,"(179,521)",25.00
146,"(209,42)",null,null,null,ʬ,"(180,64)",36.40
147,"(211,226)",null,null,null,ʱ,"(182,239)",31.78
148,"(213,363)",null,null,null,̆,"(208,373)",11.18
150,"(223,849)",null,null,null,ː,"(191,860)",33.84
151,"(224,636)",null,null,null,͈,"(227,620)",16.28
152,"(225,498)",null,null,null,̉,"(209,487)",19.42
153,"(227,419)",null,null,null,̟,"(216,430)",15.56
154,"(227,989)",null,null,null,̋,"(210,967)",27.80
155,"(230,870)",null,null,null,̊,"(209,876)",21.84
156,"(232,164)",null,null,null,˰,"(202,169)",30.41
157,"(237,431)",null,null,null,Ͳ,"(242,454)",23.54
159,"(241,1124)",null,null,null,̵,"(223,1130)",18.97
160,"(242,604)",null,null,null,̙,"(213,605)",29.02
161,"(242,925)",null,null,null,́,"(206,934)",37.11
162,"(244,499)",null,null,null,ͮ,"(240,483)",16.49
163,"(244,669)",null,null,null,͝,"(234,657)",15.62
164,"(245,304)",null,null,null,̘,"(213,288)",35.78
165,"(245,541)",null,null,null,͂,"(226,542)",19.03
167,"(246,964)",null,null,null,̚,"(213,957)",33.73
168,"(250,906)",null,null,null,΅,"(246,908)",4.47
169,"(251,649)",null,null,null,ώ,"(267,644)",16.76
170,"(255,715)",null,null,null,̓,"(226,739)",37.64
171,"(255,620)",null,null,null,Ϧ,"(271,612)",17.89
172,"(256,1136)",null,null,null,Η,"(251,1134)",5.39
173,"(260,204)",null,null,null,ͽ,"(245,212)",17.00
174,"(260,1044)",null,null,null,̈́,"(226,1030)",36.77
175,"(261,587)",null,null,null,ε,"(260,570)",17.03
176,"(264,406)",null,null,null,α,"(260,407)",4.12
177,"(264,382)",null,null,null,Σ,"(256,354)",29.12
178,"(266,1067)",null,null,null,μ,"(262,1084)",17.46
179,"(267,553)",null,null,null,ύ,"(267,555)",2.00
180,"(267,236)",null,null,null,Ͷ,"(243,244)",25.30
181,"(267,826)",null,null,null,ͱ,"(241,807)",32.20
182,"(267,988)",null,null,null,Θ,"(252,1001)",19.85
183,"(270,692)",null,null,null,Ή,"(249,693)",21.02
184,"(273,155)",null,null,null,Π,"(255,117)",42.05
185,"(275,466)",null,null,null,Γ,"(251,474)",25.30
187,"(283,11)",null,null,null,ι,"(261,52)",46.53
188,"(284,168)",null,null,null,Д,"(284,166)",2.00
189,"(284,884)",null,null,null,η,"(260,868)",28.84
190,"(284,1047)",null,null,null,Ͼ,"(277,1057)",12.21
192,"(289,1075)",null,null,null,ї,"(301,1084)",15.00
193,"(289,600)",null,null,null,Ї,"(281,582)",19.70
194,"(291,291)",null,null,null,ϥ,"(271,308)",26.25
195,"(291,1116)",null,null,null,Ќ,"(282,1140)",25.63
196,"(291,688)",null,null,null,Щ,"(290,683)",5.10
197,"(293,548)",null,null,null,з,"(292,551)",3.16
198,"(294,507)",null,null,null,Ϡ,"(269,508)",25.02
199,"(296,635)",null,null,null,Ј,"(281,620)",21.21
200,"(296,1061)",null,null,null,ѧ,"(306,1066)",11.18
202,"(300,9)",null,null,null,ѱ,"(309,35)",27.51
203,"(300,913)",null,null,null,Ϻ,"(275,938)",35.36
204,"(302,812)",null,null,null,Ў,"(283,794)",26.17
205,"(305,282)",null,null,null,ѫ,"(307,283)",2.24
207,"(308,307)",null,null,null,Ѓ,"(280,321)",31.30
208,"(315,3)",null,null,null,ѿ,"(314,6)",3.16
209,"(316,209)",null,null,null,Э,"(291,219)",26.93
210,"(317,524)",null,null,null,҂,"(314,516)",8.54
211,"(316,624)",null,null,null,҄,"(314,625)",2.24
212,"(316,1138)",null,null,null,ь,"(299,1136)",17.12
213,"(318,251)",null,null,null,т,"(298,260)",21.93
214,"(319,911)",null,null,null,Ѽ,"(313,892)",19.92
215,"(321,100)",null,null,null,ν,"(263,94)",58.31
216,"(321,1100)",null,null,null,ҧ,"(323,1101)",2.24
217,"(322,779)",null,null,null,Ы,"(290,758)",38.28
218,"(323,800)",null,null,null,ҙ,"(321,798)",2.83
219,"(324,934)",null,null,null,ѽ,"(313,964)",31.95
220,"(324,155)",null,null,null,Ѡ,"(305,156)",19.03
222,"(326,643)",null,null,null,Җ,"(320,641)",6.32
223,"(327,174)",null,null,null,Ѣ,"(306,173)",21.02
224,"(327,1061)",null,null,null,҆,"(314,1051)",16.40
225,"(327,429)",null,null,null,ч,"(299,427)",28.07
226,"(329,1038)",null,null,null,һ,"(329,1041)",3.00
227,"(331,491)",null,null,null,Ѵ,"(309,469)",31.11
228,"(332,841)",null,null,null,ӌ,"(335,861)",20.22
229,"(338,597)",null,null,null,҃,"(314,596)",24.02
230,"(339,580)",null,null,null,Ҫ,"(324,572)",17.00
231,"(339,418)",null,null,null,ӑ,"(336,412)",6.71
232,"(340,666)",null,null,null,ҥ,"(323,666)",17.00
233,"(346,165)",null,null,null,ԑ,"(354,171)",10.00
235,"(347,336)",null,null,null,ҕ,"(320,374)",46.62
236,"(350,66)",null,null,null,Ѻ,"(313,55)",38.60
237,"(353,208)",null,null,null,ӏ,"(336,195)",21.40
238,"(354,406)",null,null,null,Ԏ,"(353,409)",3.16
239,"(355,556)",null,null,null,Ԑ,"(353,571)",15.13
240,"(355,730)",null,null,null,Ҭ,"(324,728)",31.06
241,"(356,912)",null,null,null,ө,"(341,914)",15.13
242,"(358,812)",null,null,null,Ԧ,"(358,814)",2.00
243,"(359,114)",null,null,null,Ӱ,"(345,97)",22.02
244,"(360,955)",null,null,null,Ӏ,"(330,972)",34.48
245,"(360,1053)",null,null,null,Ӻ,"(347,1069)",20.62
246,"(360,459)",null,null,null,Ԩ,"(360,462)",3.00
247,"(362,692)",null,null,null,Ԡ,"(356,679)",14.32
249,"(368,795)",null,null,null,Շ,"(366,795)",2.00
250,"(370,738)",null,null,null,Ժ,"(363,748)",12.21
251,"(371,198)",null,null,null,Ք,"(372,202)",4.12
253,"(371,970)",null,null,null,ӱ,"(345,982)",28.64
254,"(373,27)",null,null,null,Ԋ,"(352,36)",22.85
257,"(378,387)",null,null,null,Դ,"(363,366)",25.81
259,"(380,783)",null,null,null,ծ,"(379,774)",9.06
260,"(380,1011)",null,null,null,ԭ,"(361,1012)",19.03
261,"(382,675)",null,null,null,֭,"(399,665)",19.72
262,"(383,300)",null,null,null,ԓ,"(354,302)",29.07
263,"(383,349)",null,null,null,պ,"(382,353)",4.12
266,"(388,808)",null,null,null,վ,"(384,809)",4.12
267,"(388,931)",null,null,null,՝,"(373,935)",15.52
268,"(393,21)",null,null,null,֎,"(391,20)",2.24
269,"(395,637)",null,null,null,Ֆ,"(372,617)",30.48
270,"(394,1036)",null,null,null,֟,"(395,1020)",16.03
272,"(394,1098)",null,null,null,Տ,"(369,1139)",48.02
275,"(403,299)",null,null,null,֩,"(398,314)",15.81
276,"(403,916)",null,null,null,փ,"(386,879)",40.72
277,"(404,203)",null,null,null,ֱ,"(401,187)",16.28
281,"(412,818)",null,null,null,ג,"(411,787)",31.02
282,"(411,948)",null,null,null,֤,"(396,963)",21.21
283,"(412,404)",null,null,null,ֲ,"(401,412)",13.60
284,"(415,442)",null,null,null,כ,"(413,429)",13.15
285,"(417,689)",null,null,null,֮,"(399,701)",21.63
286,"(418,659)",null,null,null,׷,"(420,652)",7.28
288,"(418,844)",null,null,null,կ,"(379,865)",44.29
289,"(420,137)",null,null,null,֜,"(395,147)",26.93
292,"(425,714)",null,null,null,ֿ,"(403,724)",24.17
293,"(426,350)",null,null,null,ׅ,"(407,345)",19.65
297,"(429,909)",null,null,null,ؓ,"(429,906)",3.00
298,"(434,234)",null,null,null,ت,"(436,242)",8.25
300,"(434,832)",null,null,null,؜,"(434,829)",3.00
301,"(436,658)",null,null,null,ح,"(436,660)",2.00
302,"(441,212)",null,null,null,ؑ,"(429,185)",29.55
304,"(446,859)",null,null,null,م,"(444,858)",2.24
306,"(449,764)",null,null,null,׎,"(410,755)",40.02
307,"(452,874)",null,null,null,٦,"(453,871)",3.16
308,"(451,1072)",null,null,null,ا,"(435,1050)",27.20
309,"(453,546)",null,null,null,ִ,"(402,526)",54.78
310,"(453,649)",null,null,null,ٔ,"(450,657)",8.54
312,"(458,110)",null,null,null,ؽ,"(442,117)",17.46
313,"(458,966)",null,null,null,ٲ,"(457,948)",18.03
314,"(459,76)",null,null,null,ْ,"(450,21)",55.73
316,"(461,282)",null,null,null,ؒ,"(429,279)",32.14
318,"(469,677)",null,null,null,ڜ,"(469,680)",3.00
320,"(473,804)",null,null,null,ٍ,"(447,802)",26.08
322,"(475,403)",null,null,null,ٶ,"(458,435)",36.24
323,"(474,1030)",null,null,null,ڭ,"(474,1033)",3.00
324,"(475,380)",null,null,null,٫,"(455,388)",21.54
325,"(475,750)",null,null,null,ڀ,"(459,751)",16.03
326,"(475,963)",null,null,null,ڴ,"(475,965)",2.00
328,"(480,356)",null,null,null,ڎ,"(464,365)",18.36
329,"(480,557)",null,null,null,ڍ,"(463,566)",19.24
330,"(481,828)",null,null,null,ڬ,"(474,828)",7.00
331,"(481,230)",null,null,null,ڐ,"(465,234)",16.49
333,"(484,890)",null,null,null,ژ,"(468,904)",21.26
334,"(487,476)",null,null,null,ظ,"(440,489)",48.76
335,"(486,691)",null,null,null,ۖ,"(489,696)",5.83
336,"(488,915)",null,null,null,ڕ,"(466,908)",23.09
337,"(489,532)",null,null,null,۸,"(498,547)",17.49
338,"(491,402)",null,null,null,ۚ,"(490,406)",4.12
340,"(496,1029)",null,null,null,ۯ,"(495,1053)",24.02
343,"(498,1077)",null,null,null,ڥ,"(471,1124)",54.20
344,"(499,634)",null,null,null,ۄ,"(479,604)",36.06
347,"(503,571)",null,null,null,܈,"(501,563)",8.25
348,"(503,989)",null,null,null,܍,"(503,991)",2.00
349,"(504,326)",null,null,null,۴,"(497,315)",13.04
350,"(506,109)",null,null,null,ܓ,"(507,101)",8.06
351,"(506,132)",null,null,null,݆,"(518,147)",19.21
352,"(507,771)",null,null,null,ݵ,"(532,801)",39.05
353,"(508,454)",null,null,null,۞,"(491,454)",17.00
354,"(508,740)",null,null,null,ۮ,"(495,725)",19.85
355,"(507,854)",null,null,null,۪,"(494,857)",13.34
356,"(516,1070)",null,null,null,ܸ,"(515,1052)",18.03
357,"(516,972)",null,null,null,ܶ,"(515,970)",2.24
358,"(519,171)",null,null,null,۝,"(491,170)",28.02
359,"(523,762)",null,null,null,ݣ,"(529,753)",10.82
360,"(524,1011)",null,null,null,ܑ,"(506,1010)",18.03
363,"(526,484)",null,null,null,ܠ,"(509,493)",19.24
364,"(528,553)",null,null,null,ݢ,"(529,555)",2.24
365,"(528,701)",null,null,null,ܡ,"(509,693)",20.62
366,"(529,883)",null,null,null,ݼ,"(535,907)",24.74
367,"(530,332)",null,null,null,ݒ,"(523,348)",17.46
368,"(529,648)",null,null,null,ޙ,"(545,645)",16.28
369,"(534,1030)",null,null,null,ݬ,"(531,1031)",3.16
370,"(540,211)",null,null,null,ތ,"(540,214)",3.00
371,"(541,44)",null,null,null,ۃ,"(479,3)",74.33
372,"(543,622)",null,null,null,ݎ,"(520,615)",24.04
373,"(542,412)",null,null,null,ܻ,"(516,424)",28.64
374,"(548,141)",null,null,null,ݞ,"(527,138)",21.21
375,"(549,67)",null,null,null,ݝ,"(527,78)",24.60
376,"(548,377)",null,null,null,ܫ,"(513,371)",35.51
377,"(549,1102)",null,null,null,ܹ,"(515,1109)",34.71
379,"(555,111)",null,null,null,ߘ,"(567,96)",19.21
380,"(556,964)",null,null,null,ރ,"(537,941)",29.83
381,"(558,634)",null,null,null,޻,"(555,661)",27.17
383,"(558,1043)",null,null,null,߄,"(557,1018)",25.02
384,"(560,830)",null,null,null,ޒ,"(541,834)",19.42
