Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
2,"(0,834)",11,"(18,836)",18.11,A,"(0,850)",16.00
13,"(22,473)",35,"(58,490)",39.81,T,"(3,468)",19.65
24,"(36,985)",30,"(44,980)",9.43,i,"(10,970)",30.02
42,"(76,50)",47,"(89,67)",21.40,ø,"(51,66)",29.68
46,"(86,622)",48,"(89,644)",22.20,ĝ,"(61,604)",30.81
58,"(115,389)",61,"(119,402)",13.60,Ş,"(83,401)",34.18
63,"(124,341)",71,"(139,348)",16.55,ƕ,"(99,300)",48.02
74,"(147,292)",78,"(156,299)",11.40,ƨ,"(103,285)",44.55
89,"(180,612)",92,"(184,616)",5.66,ʾ,"(180,610)",2.00
90,"(182,1096)",94,"(185,1099)",4.24,Ȕ,"(134,1131)",59.41
93,"(185,595)",104,"(203,614)",26.17,ʙ,"(171,587)",16.12
106,"(205,420)",109,"(209,420)",4.00,ɳ,"(163,407)",43.97
106,"(205,420)",112,"(216,428)",13.60,ɳ,"(163,407)",43.97
109,"(209,420)",112,"(216,428)",10.63,̣,"(210,417)",3.16
116,"(223,213)",117,"(226,218)",5.83,˷,"(198,205)",26.25
124,"(231,561)",129,"(237,569)",10.00,ˬ,"(195,554)",36.67
124,"(231,561)",135,"(246,574)",19.85,ˬ,"(195,554)",36.67
129,"(237,569)",135,"(246,574)",10.30,΃,"(235,571)",2.83
139,"(257,403)",153,"(274,414)",20.25,ά,"(246,385)",21.10
141,"(261,292)",151,"(270,299)",11.40,Ϧ,"(261,276)",16.00
163,"(290,17)",167,"(298,11)",10.00,а,"(282,58)",41.77
172,"(305,802)",184,"(315,810)",12.81,Я,"(281,811)",25.63
172,"(305,802)",191,"(323,803)",18.03,Я,"(281,811)",25.63
179,"(310,642)",183,"(315,643)",5.10,ҏ,"(308,660)",18.11
184,"(315,810)",191,"(323,803)",10.63,null,null,null
185,"(315,1068)",193,"(324,1077)",12.73,ѡ,"(297,1068)",18.00
185,"(315,1068)",201,"(331,1094)",30.53,ѡ,"(297,1068)",18.00
193,"(324,1077)",201,"(331,1094)",18.38,null,null,null
195,"(328,614)",199,"(331,622)",8.54,Ѣ,"(298,613)",30.02
218,"(370,54)",221,"(374,69)",15.52,ԉ,"(345,32)",33.30
219,"(370,451)",224,"(380,446)",11.18,Ԏ,"(347,471)",30.48
226,"(384,0)",228,"(387,5)",5.83,Ԩ,"(356,18)",33.29
227,"(384,959)",240,"(400,954)",16.76,Պ,"(363,962)",21.21
227,"(384,959)",235,"(395,938)",23.71,Պ,"(363,962)",21.21
235,"(395,938)",240,"(400,954)",16.76,֊,"(381,937)",14.04
241,"(402,34)",248,"(411,31)",9.49,ֵ,"(394,25)",12.04
241,"(402,34)",255,"(418,35)",16.03,ֵ,"(394,25)",12.04
247,"(409,373)",256,"(419,379)",11.66,փ,"(380,372)",29.02
248,"(411,31)",255,"(418,35)",8.06,׸,"(412,28)",3.16
249,"(412,808)",257,"(419,812)",8.06,ם,"(404,811)",8.54
253,"(415,860)",261,"(426,852)",13.60,ؑ,"(418,867)",7.62
286,"(459,1125)",289,"(460,1131)",6.08,ڀ,"(445,1114)",17.80
314,"(507,80)",321,"(516,86)",10.82,null,null,null
316,"(508,402)",319,"(514,410)",10.00,܋,"(484,424)",32.56
323,"(516,820)",328,"(521,824)",6.40,݈,"(501,813)",16.55
326,"(522,844)",331,"(529,853)",11.40,ހ,"(518,845)",4.12
326,"(522,844)",337,"(534,853)",15.00,ހ,"(518,845)",4.12
331,"(529,853)",337,"(534,853)",5.00,ޗ,"(523,862)",10.82
332,"(530,404)",333,"(533,388)",16.28,޶,"(531,409)",5.10
349,"(553,252)",359,"(562,234)",20.12,ߋ,"(536,264)",20.81
351,"(554,154)",358,"(562,164)",12.81,ࠊ,"(554,152)",2.00
356,"(559,476)",363,"(564,484)",9.43,޹,"(532,447)",39.62
364,"(565,850)",371,"(572,843)",9.90,ࠃ,"(551,844)",15.23
364,"(565,850)",367,"(564,836)",14.04,ࠃ,"(551,844)",15.23
367,"(564,836)",371,"(572,843)",10.63,߶,"(548,818)",24.08
370,"(570,1002)",382,"(584,996)",15.23,ࡁ,"(570,1005)",3.00
373,"(574,259)",379,"(580,243)",17.09,ࠪ,"(564,272)",16.40
373,"(574,259)",384,"(590,248)",19.42,ࠪ,"(564,272)",16.40
379,"(580,243)",384,"(590,248)",11.18,null,null,null
380,"(581,951)",387,"(589,941)",12.81,ࠡ,"(562,948)",19.24
380,"(581,951)",383,"(587,972)",21.84,ࠡ,"(562,948)",19.24
383,"(587,972)",387,"(589,941)",31.06,࠮,"(564,968)",23.35
389,"(590,460)",403,"(617,491)",41.11,ࢃ,"(590,458)",2.00
398,"(611,634)",401,"(615,629)",6.40,ࢗ,"(596,646)",19.21
413,"(631,192)",416,"(635,202)",10.77,࣭,"(620,202)",14.87
427,"(652,283)",437,"(663,292)",14.21,ौ,"(645,284)",7.07
444,"(670,190)",445,"(673,193)",4.24,ত,"(670,187)",3.00
448,"(680,872)",452,"(687,869)",7.62,१,"(653,854)",32.45
448,"(680,872)",461,"(699,844)",33.84,१,"(653,854)",32.45
452,"(687,869)",461,"(699,844)",27.73,৵,"(695,876)",10.63
1,"(2,140)",null,null,null,E,"(2,143)",3.00
3,"(0,1132)",null,null,null,_,"(3,1124)",8.54
4,"(2,500)",null,null,null,H,"(2,502)",2.00
5,"(8,74)",null,null,null,D,"(2,65)",10.82
6,"(11,764)",null,null,null,K,"(2,748)",18.36
7,"(11,204)",null,null,null,z,"(19,222)",19.70
8,"(16,0)",null,null,null,B,"(2,12)",18.44
9,"(16,588)",null,null,null,W,"(3,615)",29.97
10,"(18,669)",null,null,null,I,"(2,681)",20.00
11,"(18,836)",null,null,null,h,"(10,845)",12.04
12,"(20,740)",null,null,null,Y,"(3,746)",18.03
14,"(26,653)",null,null,null,,"(20,653)",6.00
15,"(26,122)",null,null,null,,"(25,120)",2.24
16,"(26,853)",null,null,null,q,"(12,881)",31.30
17,"(28,192)",null,null,null,,"(25,191)",3.16
18,"(27,322)",null,null,null,F,"(2,310)",27.73
19,"(28,440)",null,null,null,G,"(2,410)",39.70
20,"(32,11)",null,null,null,,"(25,14)",7.62
21,"(33,274)",null,null,null,b,"(8,259)",29.15
22,"(35,550)",null,null,null,u,"(13,541)",23.77
23,"(35,918)",null,null,null,a,"(7,922)",28.28
25,"(36,692)",null,null,null,},"(19,693)",17.03
26,"(39,339)",null,null,null,w,"(17,349)",24.17
27,"(38,1016)",null,null,null,],"(3,1025)",36.14
28,"(43,718)",null,null,null,¶,"(34,729)",14.21
29,"(43,931)",null,null,null,M,"(2,952)",46.07
30,"(44,980)",null,null,null,ç,"(46,981)",2.24
31,"(43,115)",null,null,null,¹,"(35,107)",11.31
32,"(47,1089)",null,null,null,N,"(2,1061)",53.00
33,"(51,868)",null,null,null,í,"(48,869)",3.16
34,"(52,278)",null,null,null,ý,"(52,276)",2.00
35,"(58,490)",null,null,null,ñ,"(49,510)",21.93
36,"(63,765)",null,null,null,Ó,"(42,781)",26.40
37,"(64,346)",null,null,null,Ý,"(44,375)",35.23
38,"(66,222)",null,null,null,×,"(43,227)",23.54
39,"(66,642)",null,null,null,Ĉ,"(57,660)",20.12
40,"(72,1115)",null,null,null,ĥ,"(64,1133)",19.70
41,"(75,1096)",null,null,null,Ņ,"(75,1094)",2.00
43,"(77,724)",null,null,null,ń,"(75,726)",2.83
44,"(84,835)",null,null,null,ą,"(54,813)",37.20
45,"(85,37)",null,null,null,ł,"(75,22)",18.03
47,"(89,67)",null,null,null,ŭ,"(89,69)",2.00
48,"(89,644)",null,null,null,Ť,"(84,658)",14.87
49,"(90,1048)",null,null,null,Ů,"(89,1029)",19.03
50,"(93,1086)",null,null,null,Ǝ,"(96,1084)",3.61
51,"(94,564)",null,null,null,Œ,"(79,571)",16.55
52,"(98,748)",null,null,null,ś,"(82,742)",17.09
53,"(99,1064)",null,null,null,Ə,"(97,1066)",2.83
54,"(101,163)",null,null,null,ģ,"(64,163)",37.00
55,"(100,698)",null,null,null,Ś,"(82,701)",18.25
56,"(104,123)",null,null,null,Ɣ,"(99,116)",8.60
57,"(113,966)",null,null,null,ŕ,"(81,980)",34.93
59,"(115,1027)",null,null,null,Ź,"(91,1011)",28.84
60,"(116,174)",null,null,null,Ǐ,"(112,172)",4.47
61,"(119,402)",null,null,null,Ń,"(75,419)",47.17
62,"(122,235)",null,null,null,Ɖ,"(95,261)",37.48
64,"(124,624)",null,null,null,Ƶ,"(107,628)",17.46
65,"(124,842)",null,null,null,Ư,"(105,862)",27.59
66,"(130,584)",null,null,null,ǋ,"(111,595)",21.95
67,"(131,710)",null,null,null,ȅ,"(131,705)",5.00
68,"(137,856)",null,null,null,ǩ,"(122,899)",45.54
69,"(139,978)",null,null,null,ǲ,"(124,982)",15.52
70,"(139,222)",null,null,null,Ǽ,"(129,214)",12.81
71,"(139,348)",null,null,null,ȝ,"(139,350)",2.00
72,"(140,30)",null,null,null,Ǔ,"(114,42)",28.64
73,"(143,740)",null,null,null,Ǧ,"(121,741)",22.02
75,"(146,1000)",null,null,null,Ȉ,"(131,1008)",17.00
76,"(148,548)",null,null,null,ǥ,"(121,552)",27.29
77,"(153,962)",null,null,null,ȑ,"(133,956)",20.88
78,"(156,299)",null,null,null,ɓ,"(154,313)",14.14
79,"(155,661)",null,null,null,Ƕ,"(125,662)",30.02
80,"(155,770)",null,null,null,ǧ,"(121,794)",41.62
81,"(156,692)",null,null,null,Ȳ,"(145,685)",13.04
82,"(157,981)",null,null,null,ɨ,"(156,984)",3.16
83,"(163,940)",null,null,null,Ȑ,"(133,910)",42.43
84,"(164,644)",null,null,null,ɑ,"(153,629)",18.60
85,"(167,674)",null,null,null,ʿ,"(180,685)",17.03
86,"(170,186)",null,null,null,ȹ,"(147,191)",23.54
87,"(176,948)",null,null,null,ʢ,"(172,948)",4.00
88,"(179,1039)",null,null,null,ɏ,"(152,1033)",27.66
91,"(182,156)",null,null,null,ȳ,"(146,133)",42.72
94,"(185,1099)",null,null,null,ɮ,"(159,1133)",42.80
95,"(186,795)",null,null,null,ɰ,"(161,812)",30.23
96,"(185,1069)",null,null,null,ʲ,"(178,1062)",9.90
97,"(189,1013)",null,null,null,ʉ,"(168,1019)",21.84
98,"(191,16)",null,null,null,ɶ,"(164,12)",27.29
99,"(191,916)",null,null,null,ʜ,"(171,889)",33.60
100,"(192,766)",null,null,null,ʦ,"(173,760)",19.92
101,"(195,746)",null,null,null,ʚ,"(171,727)",30.61
102,"(196,846)",null,null,null,ʛ,"(171,829)",30.23
103,"(204,90)",null,null,null,ʍ,"(170,92)",34.06
