Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
14,"(22,624)",18,"(27,628)",6.40,^,"(9,643)",23.02
16,"(26,665)",26,"(35,672)",11.40,,"(23,652)",13.34
16,"(26,665)",33,"(43,666)",17.03,,"(23,652)",13.34
26,"(35,672)",33,"(43,666)",10.00,Ç,"(34,674)",2.24
47,"(74,433)",50,"(80,433)",6.00,÷,"(50,412)",31.89
55,"(89,956)",59,"(92,962)",6.71,Ņ,"(70,963)",20.25
64,"(100,220)",69,"(110,211)",13.45,Ŕ,"(75,221)",25.02
73,"(117,45)",74,"(122,45)",5.00,Ɲ,"(97,9)",41.18
76,"(126,59)",87,"(147,74)",25.81,Ǭ,"(123,60)",3.16
89,"(154,743)",93,"(164,753)",14.14,ǆ,"(110,745)",44.05
98,"(172,813)",103,"(182,804)",13.45,ȸ,"(146,812)",26.02
132,"(237,293)",136,"(244,301)",10.63,͛,"(220,278)",22.67
158,"(284,148)",170,"(295,123)",27.31,Ϫ,"(264,146)",20.10
162,"(285,467)",167,"(295,464)",10.44,Ϲ,"(267,480)",22.20
179,"(311,1055)",186,"(318,1066)",13.04,ѵ,"(299,1067)",16.97
179,"(311,1055)",188,"(325,1022)",35.85,ѵ,"(299,1067)",16.97
186,"(318,1066)",188,"(325,1022)",44.55,Ҕ,"(312,1087)",21.84
187,"(323,461)",196,"(340,448)",21.40,Қ,"(314,461)",9.00
190,"(337,371)",203,"(348,380)",14.21,Ҹ,"(322,385)",20.52
192,"(338,531)",201,"(347,538)",11.40,ҿ,"(323,524)",16.55
193,"(338,587)",202,"(346,595)",11.31,ӎ,"(328,598)",14.87
212,"(361,740)",214,"(366,744)",6.40,Ԩ,"(355,741)",6.08
212,"(361,740)",218,"(371,748)",12.81,Ԩ,"(355,741)",6.08
212,"(361,740)",223,"(381,739)",20.02,Ԩ,"(355,741)",6.08
214,"(366,744)",218,"(371,748)",6.40,null,null,null
214,"(366,744)",223,"(381,739)",15.81,null,null,null
218,"(371,748)",223,"(381,739)",13.45,կ,"(371,750)",2.00
221,"(376,226)",222,"(380,236)",10.77,Ղ,"(362,211)",20.52
227,"(390,163)",232,"(404,168)",14.87,Հ,"(362,174)",30.08
231,"(401,1053)",233,"(405,1049)",5.66,է,"(370,1066)",33.62
246,"(435,986)",248,"(435,959)",27.00,ׄ,"(398,990)",37.22
251,"(442,829)",262,"(456,836)",15.65,ؕ,"(426,843)",21.26
252,"(444,281)",258,"(453,294)",15.81,צ,"(411,273)",33.96
274,"(475,1114)",278,"(482,1127)",14.76,ڴ,"(475,1112)",2.00
284,"(492,843)",288,"(500,851)",11.31,ۊ,"(481,854)",15.56
320,"(566,252)",325,"(572,258)",8.49,ߗ,"(552,243)",16.64
324,"(570,759)",332,"(580,753)",11.66,߲,"(557,755)",13.60
331,"(580,462)",335,"(586,466)",7.21,ࡓ,"(580,459)",3.00
331,"(580,462)",341,"(596,460)",16.12,ࡓ,"(580,459)",3.00
335,"(586,466)",341,"(596,460)",11.66,ࡥ,"(586,468)",2.00
336,"(585,683)",342,"(594,699)",18.36,ߣ,"(554,647)",47.51
370,"(658,3)",375,"(662,0)",5.00,ࣤ,"(621,10)",37.66
371,"(658,1087)",380,"(668,1097)",14.14,ࢮ,"(607,1081)",51.35
392,"(689,833)",394,"(691,838)",5.39,৙,"(686,833)",3.00
1,"(0,564)",null,null,null,F,"(2,562)",2.83
2,"(0,774)",null,null,null,R,"(3,767)",7.62
3,"(0,820)",null,null,null,L,"(2,817)",3.61
4,"(3,97)",null,null,null,N,"(3,94)",3.00
5,"(10,739)",null,null,null,K,"(2,730)",12.04
6,"(11,490)",null,null,null,V,"(7,516)",26.31
7,"(11,883)",null,null,null,,"(18,874)",11.40
