Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
9,"(12,559)",15,"(22,571)",15.62,Q,"(9,540)",19.24
21,"(31,368)",27,"(35,378)",10.77,,"(23,373)",9.43
24,"(35,85)",32,"(43,92)",10.63,z,"(19,80)",16.76
28,"(36,601)",31,"(42,604)",6.71,¬,"(31,604)",5.83
34,"(45,1047)",41,"(51,1058)",12.53,¶,"(34,1060)",17.03
49,"(68,124)",52,"(74,134)",11.66,Ŋ,"(76,115)",12.04
55,"(80,1142)",57,"(84,1140)",4.47,null,null,null
58,"(85,709)",61,"(90,717)",9.43,û,"(51,700)",35.17
58,"(85,709)",65,"(99,692)",22.02,û,"(51,700)",35.17
61,"(90,717)",65,"(99,692)",26.57,œ,"(79,733)",19.42
62,"(92,1044)",63,"(98,1045)",6.08,ň,"(75,1036)",18.79
73,"(114,986)",74,"(116,989)",3.61,Ŕ,"(79,967)",39.82
75,"(120,895)",78,"(129,868)",28.46,Ɯ,"(100,882)",23.85
86,"(146,261)",90,"(152,264)",6.71,Ǎ,"(114,233)",42.52
94,"(154,1126)",97,"(163,1133)",11.40,Ȭ,"(139,1112)",20.52
101,"(171,331)",108,"(179,338)",10.63,ɮ,"(157,354)",26.93
107,"(179,833)",110,"(180,835)",2.24,ɂ,"(147,833)",32.00
116,"(188,1015)",121,"(200,1020)",13.00,ʩ,"(173,1035)",25.00
118,"(195,804)",120,"(199,797)",8.06,˺,"(195,806)",2.00
138,"(229,147)",142,"(235,134)",14.32,ͤ,"(226,171)",24.19
147,"(242,559)",150,"(248,556)",6.71,͠,"(224,560)",18.03
147,"(242,559)",153,"(252,548)",14.87,͠,"(224,560)",18.03
150,"(248,556)",153,"(252,548)",8.94,ϒ,"(256,568)",14.42
161,"(268,708)",168,"(275,714)",9.22,͵,"(232,718)",37.36
164,"(272,1107)",171,"(278,1107)",6.00,І,"(274,1124)",17.12
165,"(274,97)",172,"(280,107)",11.66,ϼ,"(270,98)",4.12
177,"(290,172)",182,"(296,169)",6.71,Ϧ,"(264,164)",27.20
184,"(299,499)",189,"(306,510)",13.04,Ѝ,"(276,499)",23.00
187,"(304,675)",190,"(308,675)",4.00,џ,"(302,675)",2.00
193,"(313,1036)",199,"(319,1026)",11.66,Ѷ,"(309,1037)",4.12
210,"(344,452)",217,"(354,462)",14.14,ҏ,"(316,469)",32.76
219,"(357,20)",224,"(369,22)",12.17,Ҩ,"(323,44)",41.62
230,"(379,324)",236,"(388,309)",17.49,ԙ,"(353,311)",29.07
234,"(386,621)",246,"(400,632)",17.80,Է,"(363,640)",29.83
245,"(396,76)",251,"(412,86)",18.87,ԁ,"(348,75)",48.01
248,"(402,1004)",250,"(411,998)",10.82,֒,"(387,1037)",36.25
254,"(417,374)",260,"(421,384)",10.77,׷,"(417,371)",3.00
258,"(420,588)",263,"(427,590)",7.28,ג,"(405,595)",16.55
267,"(434,971)",270,"(438,980)",9.85,؂,"(418,977)",17.09
297,"(497,338)",307,"(510,342)",13.60,ڴ,"(470,358)",33.60
298,"(498,317)",301,"(502,322)",6.40,۠,"(485,315)",13.15
303,"(506,468)",312,"(512,475)",9.22,ܟ,"(502,468)",4.00
313,"(514,232)",314,"(516,233)",2.24,ۓ,"(480,206)",42.80
322,"(534,1011)",332,"(552,1021)",20.59,ݕ,"(517,1019)",18.79
323,"(536,1043)",329,"(546,1051)",12.81,۳,"(491,1068)",51.48
342,"(571,427)",345,"(574,442)",15.30,ࠥ,"(571,425)",2.00
