Node1_ID,Coord1,Node2_ID,Coord2,Distance,End_point,E_Coord,E_Distance
3,"(0,270)",11,"(15,257)",19.85,null,null,null
18,"(27,13)",19,"(27,25)",12.00,,"(25,13)",2.00
22,"(27,1069)",27,"(36,1075)",10.82,X,"(6,1071)",21.10
29,"(36,323)",35,"(48,352)",31.38,¥,"(27,328)",10.30
31,"(42,811)",38,"(50,806)",9.43,,"(18,830)",30.61
33,"(44,959)",41,"(51,969)",12.21,,"(19,965)",25.71
39,"(51,96)",43,"(59,107)",13.60,T,"(4,116)",51.08
42,"(54,556)",48,"(62,566)",12.81,j,"(11,550)",43.42
49,"(67,660)",57,"(75,667)",10.63,Ð,"(37,652)",31.05
49,"(67,660)",59,"(81,664)",14.56,Ð,"(37,652)",31.05
57,"(75,667)",59,"(81,664)",6.71,Ğ,"(59,694)",31.38
58,"(75,986)",69,"(94,987)",19.03,Ĳ,"(66,974)",15.00
67,"(93,179)",71,"(100,187)",10.63,ĭ,"(65,189)",29.73
67,"(93,179)",76,"(108,198)",24.21,ĭ,"(65,189)",29.73
71,"(100,187)",76,"(108,198)",13.60,Ŗ,"(76,202)",28.30
75,"(107,1124)",81,"(115,1132)",11.31,ł,"(69,1128)",38.21
79,"(113,924)",94,"(132,918)",19.92,Ƣ,"(98,917)",16.55
83,"(120,482)",86,"(125,482)",5.00,ơ,"(98,473)",23.77
85,"(124,128)",95,"(133,135)",11.40,ǃ,"(108,147)",24.84
112,"(163,1089)",121,"(173,1097)",12.81,ɝ,"(147,1107)",24.08
116,"(169,33)",120,"(173,28)",6.40,ɑ,"(145,41)",25.30
122,"(178,245)",134,"(190,257)",16.97,ɼ,"(158,225)",28.28
128,"(183,1029)",133,"(189,1042)",14.32,ʚ,"(163,1018)",22.83
139,"(202,507)",144,"(208,515)",10.00,˸,"(187,475)",35.34
142,"(203,244)",151,"(210,235)",11.40,̲,"(205,251)",7.28
142,"(203,244)",150,"(210,221)",24.04,̲,"(205,251)",7.28
145,"(208,568)",157,"(217,573)",10.30,̨,"(203,562)",7.81
150,"(210,221)",151,"(210,235)",14.00,̌,"(195,226)",15.81
154,"(213,964)",163,"(223,959)",11.18,͂,"(212,969)",5.10
166,"(229,340)",177,"(240,349)",14.21,΅,"(228,337)",3.16
182,"(244,565)",183,"(249,549)",16.76,μ,"(242,577)",12.17
182,"(244,565)",190,"(267,546)",29.83,μ,"(242,577)",12.17
182,"(244,565)",196,"(273,554)",31.02,μ,"(242,577)",12.17
183,"(249,549)",190,"(267,546)",18.25,null,null,null
183,"(249,549)",196,"(273,554)",24.52,null,null,null
187,"(260,1046)",197,"(274,1066)",24.41,ϲ,"(255,1025)",21.59
187,"(260,1046)",201,"(283,1053)",24.04,ϲ,"(255,1025)",21.59
187,"(260,1046)",216,"(304,1049)",44.10,ϲ,"(255,1025)",21.59
190,"(267,546)",196,"(273,554)",10.00,Ч,"(268,544)",2.24
193,"(274,758)",200,"(284,752)",11.66,ϴ,"(257,743)",22.67
197,"(274,1066)",201,"(283,1053)",15.81,Я,"(271,1092)",26.17
197,"(274,1066)",216,"(304,1049)",34.48,Я,"(271,1092)",26.17
201,"(283,1053)",216,"(304,1049)",21.38,я,"(281,1052)",2.24
203,"(284,656)",209,"(294,666)",14.14,Е,"(265,650)",19.92
203,"(284,656)",220,"(306,643)",25.55,Е,"(265,650)",19.92
208,"(292,522)",214,"(300,525)",8.54,м,"(275,528)",18.03
209,"(294,666)",220,"(306,643)",25.94,҈,"(296,686)",20.10
222,"(310,601)",229,"(319,612)",14.21,ѭ,"(288,599)",22.09
222,"(310,601)",244,"(330,622)",29.00,ѭ,"(288,599)",22.09
223,"(313,315)",232,"(324,303)",16.28,҄,"(295,309)",18.97
228,"(318,274)",237,"(325,281)",9.90,ѳ,"(290,262)",30.46
