node_id,x,y,radius
0,229,5,6.708203932499369
1,1069,5,7.280109889280518
2,224,14,10.0
3,1079,14,15.0
4,219,24,13.0
5,1089,24,25.0
6,216,34,11.0
7,1096,34,32.01562118716424
8,35,44,20.615528128088304
9,215,44,11.0
10,1096,44,33.734255586866
11,425,45,13.416407864998739
12,435,46,18.027756377319946
13,29,47,18.0
14,20,50,15.0
15,445,50,20.8806130178211
16,13,51,14.0
17,214,54,13.601470508735444
18,1091,54,29.120439557122072
19,1100,54,31.04834939252005
20,455,57,23.600847442411894
21,1081,61,21.0
22,210,64,18.0
23,1074,64,18.24828759089466
24,1108,64,24.041630560342615
25,465,65,22.825424421026653
26,1063,69,17.46424919657298
27,200,74,25.632011235952593
28,1114,74,17.0
29,472,75,20.396078054371138
30,724,76,4.47213595499958
31,1053,77,17.204650534085253
32,190,84,32.7566787083184
33,1120,84,9.219544457292887
34,475,85,18.0
35,1043,85,19.235384061671343
36,727,86,8.0
37,318,90,18.0
38,182,94,37.57658845611187
39,477,95,16.0
40,1037,95,19.697715603592208
41,729,96,6.708203932499369
42,316,100,21.0
43,173,104,39.824615503479755
44,477,105,15.033296378372908
45,1033,105,21.0
46,731,106,6.708203932499369
47,317,110,20.396078054371138
48,165,114,40.8166632639171
49,477,115,15.0
50,1028,115,26.0
51,733,116,8.0
52,317,120,20.0
53,156,124,37.013511046643494
54,477,125,15.0
55,1023,125,30.066592756745816
56,735,126,10.0
57,1011,126,31.76476034853718
58,945,127,19.0
59,955,127,19.0
60,965,127,18.0
61,975,127,19.0
62,985,127,21.18962010041709
63,995,127,24.596747752497688
64,1005,127,28.231188426986208
65,938,129,21.0
66,317,130,20.0
67,146,131,30.0
68,932,132,22.360679774997898
69,139,134,27.459060435491963
70,478,135,16.0
71,1026,135,27.0
72,737,136,13.038404810405298
73,132,137,25.96150997149434
74,921,138,22.825424421026653
75,318,140,21.840329667841555
76,122,143,23.259406699226016
77,910,144,22.80350850198276
78,479,145,18.681541692269406
79,1030,145,22.090722034374522
80,738,146,16.492422502470642
81,904,147,22.360679774997898
82,550,149,12.0
83,318,150,24.351591323771842
84,112,151,20.12461179749811
85,893,152,21.93171219946131
86,106,155,19.209372712298546
87,481,155,23.769728648009426
88,1032,155,18.110770276274835
89,322,156,22.02271554554524
90,540,156,13.892443989449804
91,741,156,19.6468827043885
92,883,158,23.259406699226016
93,332,159,16.76305461424021
94,312,160,19.4164878389476
95,528,160,13.92838827718412
96,513,163,16.278820596099706
97,873,163,23.706539182259394
98,507,164,18.973665961010276
99,96,165,16.401219466856727
100,483,165,29.966648127543394
101,501,165,21.93171219946131
102,1035,165,15.297058540778355
103,300,166,17.46424919657298
104,490,166,28.42534080710379
105,866,166,24.041630560342615
106,860,169,25.298221281347036
107,290,172,16.64331697709324
108,854,174,27.730849247724095
109,87,175,16.278820596099706
110,476,175,29.68164415931166
111,1040,175,13.892443989449804
112,280,180,16.401219466856727
113,844,183,29.966648127543394
114,78,184,15.556349186104045
115,467,185,27.784887978899608
116,1050,185,12.041594578792296
117,366,186,7.0
118,376,189,10.0
119,271,190,16.64331697709324
120,68,192,14.142135623730951
121,386,192,12.165525060596439
122,833,192,33.1058907144937
123,458,194,26.90724809414742
124,1057,195,12.041594578792296
125,396,196,17.0
126,406,199,19.0
127,262,200,18.601075237738275
128,57,201,15.652475842498529
129,448,201,27.294688127912362
130,823,201,33.52610922848042
131,416,202,22.0
132,441,204,27.202941017470888
133,1067,204,14.7648230602334
134,426,205,25.0
135,434,206,27.202941017470888
136,253,210,20.248456731316587
137,49,211,19.924858845171276
138,815,211,28.0178514522438
139,1075,214,18.681541692269406
140,42,221,24.041630560342615
141,808,221,23.08679276123039
142,1084,224,22.47220505424423
143,34,231,29.068883707497267
144,801,231,20.808652046684813
145,1093,234,24.413111231467404
146,18,238,25.612496949731394
147,31,241,27.85677655436824
148,793,241,17.88854381999832
149,1101,244,24.839484696748443
150,33,251,23.345235059857504
151,784,251,15.264337522473747
152,1107,254,22.627416997969522
153,34,261,22.0
154,775,261,11.704699910719626
155,1108,264,15.0
156,36,271,20.0
157,771,271,8.94427190999916
158,36,281,19.0
159,36,291,17.26267650163207
160,36,301,15.132745950421556
161,36,311,15.132745950421556
162,36,321,16.76305461424021
163,217,327,10.63014581273465
164,254,327,19.1049731745428
165,264,327,21.18962010041709
166,272,327,19.4164878389476
167,248,328,20.0
168,282,328,18.0
169,227,329,17.46424919657298
170,237,329,20.223748416156685
171,491,329,20.024984394500787
172,292,330,13.601470508735444
173,36,331,20.12461179749811
174,485,331,18.0
175,501,331,20.223748416156685
176,302,332,9.0
177,479,333,16.0
178,312,334,7.0
179,511,335,18.439088914585774
180,322,337,6.708203932499369
181,468,337,13.038404810405298
182,462,340,11.0
183,36,341,24.698178070456937
184,332,341,5.0
185,521,342,14.560219778561036
