shape_name,shape_id,pair_id,x,y,semi_major,semi_minor,angle
binary_image,1,1,265,8,10.259142264341596,5.129571132170798,43.02506598911802
binary_image,1,2,287,7,16.32482771731451,8.162413858657255,152.65012421993012
binary_image,1,3,264,37,24.23324163210527,12.116620816052635,111.80140948635182
binary_image,2,4,485,6,10.700467279516348,5.350233639758174,142.59464336859145
binary_image,2,5,466,7,12.298373876248844,6.149186938124422,26.56505117707799
binary_image,2,6,491,40,30.858548248418945,15.429274124209472,63.019769281777144
binary_image,3,7,671,79,4.527692569068709,3.0,83.6598082540901
binary_image,3,8,666,85,6.082762530298219,3.0413812651491097,170.53767779197437
binary_image,3,9,676,85,4.743416490252569,3.0,18.434948822921996
binary_image,4,10,569,272,5.408326913195984,3.0,146.30993247402023
binary_image,4,11,572,343,16.56804152578089,8.284020762890446,5.194428907734789
binary_image,4,12,628,360,12.419742348374221,6.209871174187111,139.89909245378777
binary_image,4,13,675,511,6.5,3.25,157.38013505195957
binary_image,4,14,528,601,1.8027756377319946,3.0,123.69006752597979
binary_image,4,15,721,615,8.0,4.0,90.0
binary_image,4,16,652,651,1.5811388300841898,3.0,108.43494882292201
binary_image,4,17,668,659,3.640054944640259,3.0,74.05460409907715
binary_image,4,18,544,187,87.31551981177229,43.657759905886145,69.90476880809518
binary_image,4,19,504,580,31.62672920173694,15.81336460086847,39.22567409733672
binary_image,4,20,731,598,13.82931668593933,6.914658342969665,139.39870535499554
binary_image,4,21,755,608,23.021728866442675,11.510864433221338,55.61965527615513
binary_image,5,22,213,120,5.0990195135927845,3.0,101.30993247402021
binary_image,5,23,176,132,3.905124837953327,3.0,50.19442890773479
binary_image,5,24,128,149,1.118033988749895,3.0,116.56505117707799
binary_image,5,25,217,125,5.5,3.0,0.0
binary_image,5,26,116,152,11.76860229593982,5.88430114796991,167.7352262721076
binary_image,6,27,1142,237,3.0,3.0,90.0
binary_image,7,28,1039,328,17.269916039170543,8.634958019585271,67.89055165624833
binary_image,7,29,1063,290,36.908671067921155,18.454335533960577,144.3720927085791
binary_image,7,30,1010,318,23.42007685726074,11.71003842863037,163.8865817669107
binary_image,8,31,708,308,6.670832032063167,3.3354160160315836,102.9946167919165
binary_image,8,32,706,315,0.7071067811865476,3.0,135.0
binary_image,8,33,714,289,6.800735254367722,3.400367627183861,36.02737338510361
binary_image,8,34,714,314,7.0178344238090995,3.5089172119045497,175.91438322002512
binary_image,8,35,706,317,1.5811388300841898,3.0,71.56505117707798
binary_image,8,36,692,319,14.430869689661812,7.215434844830906,165.96375653207352
binary_image,9,37,661,343,2.692582403567252,3.0,158.19859051364818
binary_image,10,38,802,358,4.47213595499958,3.0,26.565051177078004
binary_image,10,39,813,355,8.602325267042627,4.301162633521313,144.46232220802563
binary_image,10,40,808,368,8.73212459828649,4.366062299143245,76.7594800848128
binary_image,11,41,841,357,2.1213203435596424,3.0,135.0
binary_image,12,42,147,389,1.0,3.0,90.0
binary_image,12,43,138,390,8.5,4.25,0.0
binary_image,12,44,151,391,4.272001872658765,3.0,20.556045219583467
binary_image,13,45,112,395,5.0990195135927845,3.0,11.309932474020213
binary_image,14,46,92,396,1.5811388300841898,3.0,108.43494882292202
binary_image,15,47,463,533,0.7071067811865476,3.0,135.0
binary_image,15,48,450,474,60.037488288568504,30.018744144284252,77.0053832080835
binary_image,15,49,462,535,1.118033988749895,3.0,116.56505117707799
binary_image,16,50,26,425,3.5355339059327378,3.0,81.86989764584402
binary_image,16,51,14,424,12.165525060596439,6.082762530298219,170.53767779197437
binary_image,16,52,39,428,12.041594578792296,6.020797289396148,175.2363583092738
binary_image,17,53,821,536,6.082762530298219,3.0413812651491097,9.462322208025617
binary_image,17,54,794,493,46.95742752749558,23.47871376374779,63.43494882292201
binary_image,17,55,823,558,21.37755832643195,10.688779163215974,100.7842978675626
binary_image,18,56,268,482,3.905124837953327,3.0,140.19442890773482
binary_image,18,57,264,474,8.514693182963201,4.257346591481601,40.23635830927382
binary_image,18,58,263,494,9.12414379544733,4.562071897723665,99.46232220802561
binary_image,19,59,972,497,23.16246964380094,11.58123482190047,13.736268305622572
binary_image,22,60,1103,595,18.560711193270585,9.280355596635292,27.25532837494307
binary_image,22,61,1089,564,23.08679276123039,11.543396380615196,94.96974072811031
binary_image,22,62,1071,608,26.100766272276374,13.050383136138187,126.43085812016236
binary_image,23,63,91,559,6.020797289396148,3.010398644698074,48.366460663429805
binary_image,24,64,274,588,1.118033988749895,3.0,153.434948822922
binary_image,24,65,274,574,14.035668847618199,7.0178344238090995,85.91438322002513
binary_image,24,66,275,589,1.118033988749895,3.0,63.43494882292201
binary_image,25,67,90,576,1.5811388300841898,3.0,108.43494882292202
binary_image,26,68,820,590,1.4142135623730951,3.0,45.0
binary_image,27,69,70,631,7.106335201775948,3.553167600887974,39.28940686250036
binary_image,27,70,8,639,7.433034373659253,3.7165171868296265,47.72631099390625
binary_image,27,71,71,615,13.209844813622906,6.604922406811453,119.47588900324574
binary_image,27,72,7,664,20.402205763103165,10.201102881551583,107.10272896905236
binary_image,28,73,285,603,1.5811388300841898,3.0,18.43494882292201
binary_image,29,74,812,610,2.23606797749979,3.0,63.43494882292201
binary_image,30,75,1051,637,2.23606797749979,3.0,116.56505117707799
binary_image,31,76,1036,665,1.5,3.0,90.0
binary_image,32,77,834,704,7.5,3.75,143.13010235415598
binary_image,32,78,844,686,14.705441169852742,7.352720584926371,107.81888891452277
binary_image,32,79,849,704,9.848857801796104,4.924428900898052,23.96248897457818
binary_image,33,80,251,694,6.103277807866851,3.0516389039334255,124.99202019855866
binary_image,33,81,183,703,65.15558303015943,32.57779151507972,176.03968816954162
binary_image,33,82,267,699,15.620499351813308,7.810249675906654,39.80557109226518
binary_image,34,83,1022,702,2.5,3.0,36.86989764584402
binary_image,34,84,1024,688,13.285330255586423,6.642665127793212,109.79887635452492
binary_image,34,85,1009,703,10.793516572461451,5.3967582862307255,166.6075022462489
binary_image,35,86,330,684,1.4142135623730951,3.0,135.0
binary_image,36,87,350,708,25.079872407968907,12.539936203984453,4.573921259900861
